base,currency_pair,sell_price,buy_price,min_day,max_day,open_market_value,last_closing,date
Euro Dólar Americano,EUR/USD,1.1837,1.1833,1.177,1.1837,1.1802,1.1799,27-07-2021
Libra Esterlina Dólar Americano,GBP/USD,1.389,1.3885,1.3766,1.3893,1.3814,1.3816,27-07-2021
Dólar Americano Iene Japonês,USD/JPY,109.67,109.64,109.58,110.41,110.34,110.34,27-07-2021
Dólar Americano Franco Suíço,USD/CHF,0.9135,0.9131,0.9133,0.9187,0.9163,0.9159,27-07-2021
Dólar Australiano Dólar Americano,AUD/USD,0.7364,0.7362,0.7337,0.7389,0.7385,0.738,27-07-2021
Dólar Americano Dólar Canadense,USD/CAD,1.2576,1.2575,1.2536,1.2594,1.2548,1.254,27-07-2021
Dólar Neozelandês Dólar Americano,NZD/USD,0.696,0.6956,0.694,0.7007,0.7003,0.7004,27-07-2021
Dólar Americano Rand Sul-Africano,USD/ZAR,14.7936,14.7829,14.7656,14.956,14.7908,14.8069,27-07-2021
Dólar Americano Nova Lira Turca,USD/TRY,8.5733,8.5651,8.545,8.5828,8.5499,8.5539,27-07-2021
Dólar Americano Peso Mexicano,USD/MXN,19.9951,19.9846,19.9485,20.139,20.027,20.027,27-07-2021
Dólar Americano Zlóti Polonês,USD/PLN,3.8844,3.8823,3.8786,3.9088,3.8889,3.8885,27-07-2021
Dólar Americano Coroa Sueca,USD/SEK,8.612,8.6108,8.5966,8.6605,8.6127,8.6242,27-07-2021
Dólar Americano Dólar de Cingapura,USD/SGD,1.3605,1.36,1.3568,1.3619,1.3582,1.3582,27-07-2021
Dólar Americano Coroa Dinamarquesa,USD/DKK,6.2847,6.2837,6.2833,6.3185,6.3010,6.3017,27-07-2021
Dólar Americano Coroa Norueguesa,USD/NOK,8.873,8.87,8.8144,8.9076,8.819,8.8191,27-07-2021
Dólar Americano Novo Shekel Israelense,USD/ILS,3.2557,3.2524,3.2489,3.2613,3.2543,3.2546,27-07-2021
Dólar Americano Florim Húngaro,USD/HUF,303.92,303.52,303,307.78,305.99,306,27-07-2021
Dólar Americano Coroa Checa,USD/CZK,21.727,21.717,21.692,21.869,21.736,21.745,27-07-2021
Dólar Americano Baht Tailandês,USD/THB,32.93,32.92,32.83,32.99,32.9,32.9,27-07-2021
Dólar Americano Dirham dos Emirados,USD/AED,3.6735,3.6728,3.673,3.6733,3.6729,3.6728,27-07-2021
Dólar Americano Dinar Jordaniano,USD/JOD,0.71,0.7080,0.7082,0.7092,0.7070,0.7080,27-07-2021
Dólar Americano Dinar Kuwaitiano,USD/KWD,0.3009,0.3005,0.3006,0.3009,0.3008,0.3008,27-07-2021
Dólar Americano Dólar de Hong Kong,USD/HKD,7.785,7.7847,7.7754,7.785,7.7781,7.7784,27-07-2021
Dólar Americano Riyal Saudita,USD/SAR,3.7547,3.7463,3.7487,3.7519,3.7506,3.7505,27-07-2021
Dólar Americano Rúpia Indiana,USD/INR,74.51,74.498,74.275,74.543,74.273,74.33,27-07-2021
Dólar Americano Won Sul-Coreano,USD/KRW,1.156.49,1.156.14,1.149.14,1.158.35,1.152.26,1.152.54,27-07-2021
Real Brasileiro Dólar Americano,BRL/USD,0.1934,0.1933,0.1921,0.1942,0.1932,0.1932,27-07-2021
Dólar Canadense Dólar Americano,CAD/USD,0.7952,0.795,0.794,0.7977,0.7967,0.7972,27-07-2021
Franco Suíço Dólar Americano,CHF/USD,1.0952,1.0947,1.0885,1.095,1.0909,1.0913,27-07-2021
Dólar de Fiji Dólar Americano,FJD/USD,0.4858,0.4753,0.4781,0.4805,0.4696,0.4753,27-07-2021
Cedi Ganês Dólar Americano,GHS/USD,0.1686,0.1664,0.1675,0.1724,0.1664,0.1664,27-07-2021
Iene Japonês Dólar Americano,JPY/USD,0.9123,0.9121,0.905750,0.91255,0.906000,0.906000,27-07-2021
Dólar das Ilhas Cayman Dólar Americano,KYD/USD,1.2121,1.1976,1.2048,1.2121,1.1976,1.1976,27-07-2021
Dólar de Cingapura Dólar Americano,SGD/USD,0.7353,0.735,0.7343,0.7371,0.736,0.736,27-07-2021
Dólar Americano Lek Albanês,USD/ALL,103.22,102.66,102.845,103.6,103.07,103.08,27-07-2021
Dólar Americano Dram Armênio,USD/AMD,490,485,482.52,487.95,481.52,481.52,27-07-2021
Dólar Americano Guilder das Antilhas,USD/ANG,1.82,1.77,1.795,1.795,1.77,1.795,27-07-2021
Dólar Americano Peso Argentino,USD/ARS,96.58,96.57,96.535,96.575,96.56,96.53,27-07-2021
Dólar Americano Dólar Australiano,USD/AUD,1.3583,1.358,1.3534,1.3629,1.3537,1.3546,27-07-2021
Dólar Americano Dólar de Barbados,USD/BBD,2.0401,1.9981,2.0191,2.0191,1.9981,2.0191,27-07-2021
Dólar Americano Taka de Bangladesh,USD/BDT,84.81,84.8,84.805,84.805,84.45,84.805,27-07-2021
Dólar Americano Lev Búlgaro,USD/BGN,1.6528,1.6521,1.6523,1.6617,1.6565,1.6567,27-07-2021
Dólar Americano Dinar do Bahrein,USD/BHD,0.377,0.377,0.377,0.3771,0.377,0.377,27-07-2021
Dólar Americano Franco Burundinense,USD/BIF,2.000,1.963.65,1.976.54,1.983,1.963.65,1.963.65,27-07-2021
Dólar Americano Dólar de Brunei,USD/BND,1.3605,1.36,1.3568,1.3619,1.3582,1.3582,27-07-2021
Dólar Americano Boliviano,USD/BOB,6.98,6.83,6.895,6.9050,6.83,6.83,27-07-2021
Dólar Americano Real Brasileiro,USD/BRL,5.1712,5.1692,5.149,5.2057,5.1766,5.1761,27-07-2021
Dólar Americano Dólar das Bahamas,USD/BSD,1.0052,0.9938,0.9995,0.9995,1,0.9995,27-07-2021
Dólar Americano Pula de Botswana,USD/BWP,11.236,11.1111,11.1112,11.1922,11.0988,11.0988,27-07-2021
Dólar Americano Dólar de Belize,USD/BZD,2.0332,1.9982,2.0157,2.0157,1.9982,2.0157,27-07-2021
Dólar Americano Peso Chileno,USD/CLP,766.8,765.9,757.53,766.46,759.72,759.72,27-07-2021
Dólar Americano Yuan Chinês,USD/CNY,6.5119,6.5104,6.4742,6.5118,6.4756,6.4825,27-07-2021
Dólar Americano Peso Colombiano,USD/COP,3.927.4,3.919.4,3.897,3.924.2,3.909.5,3.909.5,27-07-2021
Dólar Americano Colón Costarriquenho,USD/CRC,620.41,619.15,618,620.58,618.3,618.3,27-07-2021
Dólar Americano Peso Cubano,USD/CUP,0.9706,0.9706,0.9706,0.9706,1,0.9706,27-07-2021
Dólar Americano Franco do Djubouti,USD/DJF,178.55,177.5,177.94,178.03,177.71,177.5,27-07-2021
Dólar Americano Peso Dominicano,USD/DOP,57.07,56.95,56.99,57.06,56.91,57,27-07-2021
Dólar Americano Dinar Argelino,USD/DZD,134.87,134.55,134.46,134.93,134.1,133.95,27-07-2021
Dólar Americano Libra Egípcia,USD/EGP,15.74,15.64,15.67,15.725,15.62,15.64,27-07-2021
Dólar Americano Birr Etíope,USD/ETB,44.4769,44.2125,44.3317,44.4336,44.1865,44.1865,27-07-2021
Dólar Americano Euro,USD/EUR,0.845,0.8447,0.8448,0.8496,0.847,0.8472,27-07-2021
Dólar Americano Dólar de Fiji,USD/FJD,2.1039,2.0585,2.0812,2.0923,2.0551,2.0585,27-07-2021
